+----------+---------+------------------------+----------------------+------------------+------------+
| month_id | year_id | reporting_period_start | reporting_period_end | reported_revenue | MRR        |
+----------+---------+------------------------+----------------------+------------------+------------+
|        1 |    2019 | 2019-01-01 00:00:00    | 2019-02-01 00:00:00  |          11.2435 | 2.24870000 |
|        2 |    2019 | 2019-02-01 00:00:00    | 2019-03-01 00:00:00  |         138.4888 | 4.94602857 |
|        3 |    2019 | 2019-03-01 00:00:00    | 2019-04-01 00:00:00  |         577.9994 | 6.14892979 |
|        4 |    2019 | 2019-04-01 00:00:00    | 2019-05-01 00:00:00  |        1425.4421 | 6.01452363 |
|        5 |    2019 | 2019-05-01 00:00:00    | 2019-06-01 00:00:00  |        3120.7639 | 6.61178792 |
|        6 |    2019 | 2019-06-01 00:00:00    | 2019-07-01 00:00:00  |        5551.1736 | 6.66407395 |
|        7 |    2019 | 2019-07-01 00:00:00    | 2019-08-01 00:00:00  |        9071.3749 | 6.99412097 |
|        8 |    2019 | 2019-08-01 00:00:00    | 2019-09-01 00:00:00  |       14400.2379 | 7.21816436 |
|        9 |    2019 | 2019-09-01 00:00:00    | 2019-10-01 00:00:00  |       20066.6008 | 7.22079914 |
|       10 |    2019 | 2019-10-01 00:00:00    | 2019-11-01 00:00:00  |       28423.2134 | 7.50546961 |
|       11 |    2019 | 2019-11-01 00:00:00    | 2019-12-01 00:00:00  |       38185.5072 | 7.42908700 |
|       12 |    2019 | 2019-12-01 00:00:00    | 2020-01-01 00:00:00  |       51237.5419 | 7.71069103 |
+----------+---------+------------------------+----------------------+------------------+------------+
